KEY,KOREAN,ENGLISH
가벼움,가벼움,Light
가볍지만 단단한 장비입니다.,가볍지만 단단한 장비입니다.,"Light, but hard enough."
강철 장비에 화염 속성 강화를 더하여 탄생한 장비입니다. 모닥불을 피울 수고를 덜게 되었습니다.,강철 장비에 화염 속성 강화를 더하여 탄생한 장비입니다. 모닥불을 피울 수고를 덜게 되었습니다.,Fire core is attached to a iron weapons. Saves time for litting some bonfires.
"강철을 단단하게 엮어 만든 장비로, 충격을 가하는 데에 특화되어 있습니다.","강철을 단단하게 엮어 만든 장비로, 충격을 가하는 데에 특화되어 있습니다.",This weapon is great against rock-solid monsters.
강철을 엮어 만든 장비입니다.,강철을 엮어 만든 장비입니다.,Wooden weapon upgraded with some stones.
강화,강화,Upgrade
견고함,견고함,Sturdy
골드,골드,Gold
깡깡 대장간,깡깡 대장간,Kang' Can blacksmith
끈적거림,끈적거림,Sticky
끈적한 세트,끈적한 세트,Slimy
끈적한 장비를 꽝꽝 얼려 만든 장비입니다. 가까이 있기만 해도 시원해집니다. 절대 혀를 가져다 대지 마세요.,끈적한 장비를 꽝꽝 얼려 만든 장비입니다. 가까이 있기만 해도 시원해집니다. 절대 혀를 가져다 대지 마세요.,"Frozen slime weapon it is. It surely is cold and cool, but always keep your tongue away from it."
나무 세트,나무 세트,Wooden
나무 장비에 가져온 책들을 엮어 만든 장비입니다. 책에 부여된 방어 마법이 사용자를 보호해 줍니다.,나무 장비에 가져온 책들을 엮어 만든 장비입니다. 책에 부여된 방어 마법이 사용자를 보호해 줍니다.,Books are tied to a wooden weapons. Enchantment on the books keep the owner from the lethal damage.
녹슬어버린 세트,녹슬어버린 세트,Rusty
눈사람 만들래...?,눈사람 만들래...?,Do you wanna build a snowman...?
단단한 나뭇가지,단단한 나뭇가지,Stick
단축키,단축키,Hotkey
대장간,대장간,Blacksmith
대장간으로,대장간으로,To blacksmith
던전,던전,Dungeon
동굴,동굴,Caves
드래곤 세트,드래곤 세트,Dragon
드래곤의 유해,드래곤의 유해,Dragon's remain
드래곤의 힘,드래곤의 힘,Dragon's Might
"드래곤의 힘과 육신은 너무나도 강력해서, 장비로 만들어도 그 권능이 남아있습니다.","드래곤의 힘과 육신은 너무나도 강력해서, 장비로 만들어도 그 권능이 남아있습니다.","Dragon's might and body is so powerful, it keeps its might even after it is made into weapons."
따끈따끈한 세트,따끈따끈한 세트,Hotspa
따뜻한 햇살과 바람이 불어오는 평원입니다. 산책가기에 딱 좋은 장소입니다.,따뜻한 햇살과 바람이 불어오는 평원입니다. 산책가기에 딱 좋은 장소입니다.,"What a sunny, windy field it is. Would be a good place for picnic."
따뜻함,따뜻함,Warmth
뜨거운 기운으로 가득 찬 핵입니다.,뜨거운 기운으로 가득 찬 핵입니다.,Sizzling core filled with blazing energy.
마법사의 탑,마법사의 탑,Wizard's tower
마법이 걸림,마법이 걸림,Enchanted
마왕성,마왕성,Demon king's castle
마왕을 쓰러뜨렸습니다!,마왕을 쓰러뜨렸습니다!,You have slained the Demon king!
마왕이 살고 있는 성입니다. 설명이 더 필요할까요?,마왕이 살고 있는 성입니다. 설명이 더 필요할까요?,This is where the Demon king lives. Do you need any further explanations?
망치,망치,Hammer
메탈 세트,메탈 세트,Metal
모험가 파티,모험가 파티,Adventurer Party
목적지,목적지,Destination
발견,발견,Discovery
보상,보상,Reward
보호 마법이 부여된 책입니다. 책의 주인이 아끼던 책인가 봅니다.,보호 마법이 부여된 책입니다. 책의 주인이 아끼던 책인가 봅니다.,Books are enchanted with protective magic. Its owner must have been a real bookworm.
볼륨,볼륨,Volume
불러오기,불러오기,Load
불타는 핵,불타는 핵,Fire core
비용,비용,Cost
산,산,Mountain
생산량,생산량,Earning
설정,설정,Settings
소요시간,소요시간,Time Estimated
슬라임 핵,슬라임 핵,Slime core
슬라임 핵을 끼운 나무 장비입니다. 끈적거리지만 나무보다는 강력합니다.,슬라임 핵을 끼운 나무 장비입니다. 끈적거리지만 나무보다는 강력합니다.,"Slime core attached to a wooden weapons. It surely is sticky, but is stronger than the wooden one."
슬라임의 본체인 핵입니다. 끈적한 슬라임이 자꾸 새어나옵니다.,슬라임의 본체인 핵입니다. 끈적한 슬라임이 자꾸 새어나옵니다.,Slime's main bodypart. The thick slime is constantly oozing out of it.
야영,야영,Camping
언어,언어,Language
얼어붙은 세트,얼어붙은 세트,Frozen
얼어붙은 핵,얼어붙은 핵,Frozen core
얼어붙음,얼어붙음,Frozen
얼음 동굴,얼음 동굴,Icy caves
여기서는 연날리기를 추천드리지 않습니다.,여기서는 연날리기를 추천드리지 않습니다.,You do NOT want to fly a kite here.
영어,영어,English
"오르막길을 올라야 하니, 짐을 너무 많이 챙기지는 마세요.","오르막길을 올라야 하니, 짐을 너무 많이 챙기지는 마세요.",Overpacking is not recommended since you are about to climb a whole mountain.
와지끈,와지끈,CRASH
요구 재료:,요구 재료:,Requires:
용사의 징표,용사의 징표,The mark of the hero
용의 힘이 이 장비들에게 아무리 강력한 존재라도 상처입힐 수 있는 권능을 부여했습니다.,용의 힘이 이 장비들에게 아무리 강력한 존재라도 상처입힐 수 있는 권능을 부여했습니다.,"Dragon has granted these weapons with the might, making it possible to wound the strong beings."
월드맵,월드맵,World Map
장비,장비,Equipment
"장비가 전체적으로 가볍기에, 보다 편하게 움직일 수 있습니다.","장비가 전체적으로 가볍기에, 보다 편하게 움직일 수 있습니다.",Light weapons surely lifts your burden.
"장비가 지속적으로 열을 내뿜어, 추운 지역에서도 체온을 유지할 수 있습니다.","장비가 지속적으로 열을 내뿜어, 추운 지역에서도 체온을 유지할 수 있습니다.",Weapon is consistantly emitting heat from its core. It will keep you warm.
장비에 부여된 보호 마법이 사용자를 화염 피해에서 보호해 줍니다.,장비에 부여된 보호 마법이 사용자를 화염 피해에서 보호해 줍니다.,The enchantment casted on the weapon keeps its users safe from fire damage.
장비에서 뿜어져나오는 냉기가 눈을 내리게 하고 날아다니는 존재들의 날개를 얼어붙게 만듭니다.,장비에서 뿜어져나오는 냉기가 눈을 내리게 하고 날아다니는 존재들의 날개를 얼어붙게 만듭니다.,The cold air from the weapon will make snowdrops to fall and freeze the wings of those flying beings.
장비에서 새어나오는 슬라임이 적들의 움직임을 둔하게 만들어줍니다.,장비에서 새어나오는 슬라임이 적들의 움직임을 둔하게 만들어줍니다.,Slime oozing out of this weapon is slowing monsters down.
장인정신,장인정신,Craftsmanship
장착,장착,Equip
재료,재료,Material
저장,저장,Save
적당하게 길고 가볍고 단단한 나뭇가지입니다.,적당하게 길고 가볍고 단단한 나뭇가지입니다.,"Long enough, hard enough."
정말 '화끈한' 친구들이 모여 사는 동네입니다.,정말 '화끈한' 친구들이 모여 사는 동네입니다.,Fully packed with 'hot' fellas.
제련하기 전의 철입니다. 제련하면 강철이 됩니다.,제련하기 전의 철입니다. 제련하면 강철이 됩니다.,"Once smelted, it will turn into hard metal."
제작,제작,Crafting
주변의 온도를 아주 빠르게 흡수하는 핵입니다. 긴 여행 중 식재료가 상하지 않게 해 줍니다.,주변의 온도를 아주 빠르게 흡수하는 핵입니다. 긴 여행 중 식재료가 상하지 않게 해 줍니다.,This core rapidly absorbs nearby heat. It keeps your foods cold and fresh between long quests.
지금 가지고 갈 수 있는 건 이것뿐입니다.,지금 가지고 갈 수 있는 건 이것뿐입니다.,This is all we have got right now.
책,책,Book
철 원석,철 원석,Iron ore
초당 생산량,초당 생산량,Earning/s
최소화,최소화,Minimize
캐릭터 이름,캐릭터 이름,Character Name
쾅,쾅,BOOM
퀘스트,퀘스트,Quest
퀘스트 지도로,퀘스트 지도로,To quest map
퀘스트 출발,퀘스트 출발,Quest Begin
클릭 통과 ON/Off,클릭 통과 ON/Off,Click Through ON/Off
"탑의 주인은 오래 전에 떠났지만, 책들은 아직 많이 남아있습니다.","탑의 주인은 오래 전에 떠났지만, 책들은 아직 많이 남아있습니다.","Even though the tower has lost its owner, it didn't lose its books."
퍽,퍽,POW
평원,평원,Fields
폭풍의 눈(폭풍 평원),폭풍의 눈(폭풍 평원),Windswept fields
하드커버 세트,하드커버 세트,Hardcover
하드커버 장비에 추가적으로 용의 부위를 엮어 만든 최고의 장비입니다.,하드커버 장비에 추가적으로 용의 부위를 엮어 만든 최고의 장비입니다.,Upgraded iron weapons with the dragon's bodyparts. This is unutterly the best gears possible.
한국어,한국어,Korean
해가 들지 않아 습기차고 어두운 동굴입니다.,해가 들지 않아 습기차고 어두운 동굴입니다.,"Hidden away from the sun, this whole cave has turned into a damp, dark place."
화산,화산,Volcano
소요 시간,소요 시간,Time Required
분,분,min
강화 단계,강화 단계,Stage
MAT_STICK_NAME, 단단한 나뭇가지, Stick
MAT_STICK_DESC, 적당하게 길고 가볍고 단단한 나뭇가지입니다., Long enough
,,
MAT_IRON_NAME, 철 원석, Iron ore
MAT_IRON_DESC, 제련하기 전의 철입니다. 제련하면 강철이 됩니다., Once smelted
,,
MAT_SLIME_NAME, 슬라임 핵, Slime core
MAT_SLIME_DESC, 슬라임의 본체인 핵입니다. 끈적한 슬라임이 자꾸 새어나옵니다., Slime's main bodypart. The thick slime is constantly oozing out of it.
,,
MAT_FIRE_NAME, 불타는 핵, Fire core
MAT_FIRE_DESC, 뜨거운 기운으로 가득 찬 핵입니다., Sizzling core filled with blazing energy.
,,
MAT_FROZEN_NAME, 얼어붙은 핵, Frozen core
MAT_FROZEN_DESC, 주변의 온도를 아주 빠르게 흡수하는 핵입니다. 긴 여행 중 식재료가 상하지 않게 해 줍니다., This core rapidly absorbs nearby heat. It keeps your foods cold and fresh between long quests.
,,
MAT_BOOK_NAME, 책, Book
MAT_BOOK_DESC, 보호 마법이 부여된 책입니다. 책의 주인이 아끼던 책인가 봅니다., Books are enchanted with protective magic. Its owner must have been a real bookworm.
,,
MAT_DRAGON_NAME, 드래곤의 유해, Dragon's remain
MAT_DRAGON_DESC, 드래곤의 힘과 육신은 너무나도 강력해서 장비로 만들어도 그 권능이 남아있습니다., Dragon's might and body is so powerful
,,
MAT_HERO_NAME, 용사의 징표, The mark of the hero
MAT_HERO_DESC, 마왕을 쓰러뜨렸습니다!, You have slained the Demon king!
,,
TRAIT_LIGHT_NAME, 가벼움, Light
TRAIT_LIGHT_DESC, 장비가 전체적으로 가볍기에 보다 편하게 움직일 수 있습니다., Light weapons surely lifts your burden.
,,
TRAIT_STURDY_NAME, 견고함, Sturdy
TRAIT_STURDY_DESC, 강철을 단단하게 엮어 만든 장비로 충격을 가하는 데에 특화되어 있습니다., This weapon is great against rock-solid monsters.
,,
TRAIT_STICKY_NAME, 끈적거림, Sticky
TRAIT_STICKY_DESC, 장비에서 새어나오는 슬라임이 적들의 움직임을 둔하게 만들어줍니다., Slime oozing out of this weapon is slowing monsters down.
,,
TRAIT_ENCHANT_NAME, 마법이 걸림, Enchanted
TRAIT_ENCHANT_DESC, 장비에 부여된 보호 마법이 사용자를 화염 피해에서 보호해 줍니다., The enchantment casted on the weapon keeps its users safe from fire damage.
,,
TRAIT_WARM_NAME, 따뜻함, Warm
TRAIT_WARM_DESC, 장비가 지속적으로 열을 내뿜어 추운 지역에서도 체온을 유지할 수 있습니다., Weapon is consistantly emitting heat from its core. It will keep you warm.
,,
TRAIT_FROZEN_NAME, 얼어붙음, Frozen
TRAIT_FROZEN_DESC, 장비에서 뿜어져나오는 냉기가 눈을 내리게 하고 날아다니는 존재들의 날개를 얼어붙게 만듭니다., The cold air from the weapon will make snowdrops to fall and freeze the wings of those flying beings.
,,
TRAIT_DRAGON_NAME, 드래곤의 힘, Dragonmight
TRAIT_DRAGON_DESC, 용의 힘이 이 장비들에게 아무리 강력한 존재라도 상처입힐 수 있는 권능을 부여했습니다., Dragon has granted these weapons with the might
,,
GEAR_RUSTY_NAME,녹슬어버린 세트, Rusty
GEAR_RUSTY_DESC, 지금 가지고 갈 수 있는 건 이것뿐입니다., This is all we have got right now.
,,
GEAR_WOODEN_NAME, 나무 세트, Wooden
GEAR_WOODEN_DESC, 가볍지만 단단한 장비입니다., Light
,,
GEAR_METAL_NAME,메탈 세트, Metal
GEAR_METAL_DESC, 강철을 엮어 만든 장비입니다., Wooden weapon upgraded with some stones.
,,
GEAR_SLIMY_NAME, 끈적한 세트, Slimy
GEAR_SLIMY_DESC, 슬라임 핵을 끼운 나무 장비입니다. 끈적거리지만 나무보다는 강력합니다., Slime core attached to a wooden weapons. It surely is sticky
,,
GEAR_HARDCOVER_NAME, 하드커버 세트, Hardcover
GEAR_HARDCOVER_DESC, 나무 장비에 가져온 책들을 엮어 만든 장비입니다. 책에 부여된 방어 마법이 사용자를 보호해 줍니다., Books are tied to a wooden weapons. Enchantment on the books keep the owner from the lethal damage.
,,
GEAR_HOTSPA_NAME, 따끈따끈한 세트, Hotspa
GEAR_HOTSPA_DESC, 강철 장비에 화염 속성 강화를 더하여 탄생한 장비입니다. 모닥불을 피울 수고를 덜게 되었습니다., Fire core is attached to a iron weapons. Saves time for litting some bonfires.
,,
GEAR_FROZEN_NAME, 얼어붙은 세트, Frozen
GEAR_FROZEN_DESC, 끈적한 장비를 꽝꽝 얼려 만든 장비입니다. 가까이 있기만 해도 시원해집니다. 절대 혀를 가져다 대지 마세요., Frozen slime weapon it is. It surely is cold and cool
,,
GEAR_DRAGON_NAME, 드래곤 세트, Dragon
GEAR_DRAGON_DESC, 하드커버 장비에 추가적으로 용의 부위를 엮어 만든 최고의 장비입니다., Upgraded iron weapons with the dragon's bodyparts. This is unutterly the best gears possible.
,,
초당 골드,초당 골드,Effect Power
보너스 단계,보너스 단계,Bonus
클릭당 골드, 클릭당 골드, Click Power
제작 후 해금 가능,제작 후 해금 가능,Unlock after crafting
해금 후 착용 가능,해금 후 착용 가능,Equip after unlocking
장비 특성, 장비 특성, Gearset Trait
오프라인 보상 획득!,오프라인 보상 획득!,Offline Rewards
자리비운동안 NN, NNN, NNN원을 벌었어요!,자리비운동안 NN, NNN, NNN원을 벌었어요!,You earned NN,NNN,NNN gold while away
아직 이전 퀘스트 보상을 획득하지 않았습니다,아직 이전 퀘스트 보상을 획득하지 않았습니다,You must claim the previous quest reward first
